symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
AAN,-0.022957727788940435,-0.21046652201887703,-0.1164616946844939,0.5689539636464718,86,665,1155.0
CRI,-0.022988087670549766,-0.21074499534927582,-0.506212269197761,0.3053685221539606,86,666,638.0
CHTR,-0.023005312001040636,-0.2109029842574744,-0.4388971967299404,0.43288544573940135,86,667,877.0
FOLD,-0.023054596292891416,-0.2113550418485139,-0.6133800693014599,0.1795702156564391,86,668,374.0
MRO,-0.02305729893273218,-0.21137983171575433,0.5117433165931026,0.07931190532511073,86,669,159.0
HUN,-0.02313510513650658,-0.21209350832644203,0.41067750392330976,0.5072754145169918,86,670,1013.0
BRKR,-0.023860010253062967,-0.21874288016918664,-0.16548777236707748,0.42094487400854397,86,671,857.0
FLO,-0.024410459103266405,-0.22379223871226456,-0.6957105973554536,0.029454780931276042,86,672,58.0
HAYW,-0.02448957739473351,-0.2245180205468313,-0.7330266906367234,0.008099923602018073,86,673,17.0
GEHC,-0.024554446857890558,-0.22511309567082638,-0.6342212268519533,0.23407956576392935,86,674,503.0
KLG,-0.02487335698554269,-0.22803863517666084,-0.4072073552606383,0.26780226156133935,86,675,575.0
RBA,-0.024893401250636535,-0.22822251465676544,-0.41150223539439373,0.4179171294818028,86,676,850.0
PEB,-0.02492361860121578,-0.22849971919005957,0.41928827274484703,0.33647552877675085,86,677,699.0
GDDY,-0.025114130527132753,-0.23024743053818003,-0.6875818605846992,0.12564257195029194,86,678,270.0
BOX,-0.025971732655311594,-0.23811518321544983,-0.6142824265563245,0.23080806211100613,86,679,491.0
QS,-0.02617912877294897,-0.240017940318628,0.3743777333348127,0.7516482118063585,86,680,1295.0
WSC,-0.027678907860733685,-0.2537786121587532,0.33632907473260265,0.4075864659309175,86,681,837.0
DB,-0.02768472447813717,-0.25383198367260124,0.2357569740943993,0.5782339207048974,86,682,1194.0
SWN,-0.028329559355245622,-0.25974895379304525,0.41049019205655973,0.5364872640167451,86,683,1064.0
K,-0.028511470207423135,-0.26141821635049933,-0.8440280853372147,0.021711599850269853,86,684,42.0
WMG,-0.02892161813197128,-0.2651819388644397,0.5726652911776747,0.29377009289767947,86,685,620.0
VNOM,-0.02903834858315087,-0.2662531402955812,-0.6322176130523428,0.22497221788509703,86,686,476.0
MPC,-0.029082544513624763,-0.2666587163500849,-0.03812689704823026,0.580002732381049,86,687,1205.0
ALGM,-0.029127647274854708,-0.2670726157990083,0.7332719653566148,0.058089343610238715,86,688,116.0
CC,-0.02923636601055765,-0.26807031364429246,0.7547157599179559,0.033420418398790605,86,689,66.0
EDR,-0.029672108537452526,-0.27206916265151854,-0.47302912401061903,0.35599559928587643,86,690,743.0
PR,-0.03032615554421534,-0.2780717039454104,0.766141117622562,0.009111255549450874,86,691,19.0
TECK,-0.030368521553697108,-0.2784605318554802,0.09693186156052117,0.5964238277805148,86,692,1245.0
INMD,-0.03063080493078877,-0.2808677568605265,0.5776131593408482,0.39096959129490944,86,693,802.0
IBRX,-0.030880088777721415,-0.2831557265840904,0.7901583350425395,0.03566452329336196,86,694,70.0
NTR,-0.03137007289060501,-0.2876530390062836,0.46422643071492997,0.47253816849326913,86,695,951.0
ARM,-0.03155011486444069,-0.2893056037605739,0.7113036663986309,0.04404466267295378,86,696,83.0
AVGO,-0.03182344692466474,-0.2918145111576896,0.07080499765847421,0.5744419159656381,86,697,1175.0
CNH,-0.03247829437534834,-0.29782560540342673,-0.12119417661872325,0.5172801064830275,86,698,1032.0
CUZ,-0.032587708527201546,-0.2988299968149301,-0.6924875353750675,0.16340710975265077,86,699,336.0
BYND,-0.03266354990738482,-0.29952620585100725,0.3306667370998912,0.6514970192904015,86,700,1279.0
HLIT,-0.032665259990209916,-0.29954190413652865,-0.6723175669314602,0.11183028321573973,86,701,227.0
HRL,-0.03276722086634008,-0.3004778933585882,-0.45322992203061385,0.06963132725471652,86,702,133.0
PLNT,-0.03276803864163122,-0.30048540048048117,-0.46879930691263466,0.32990314091131984,86,703,694.0
IQV,-0.03291613716980255,-0.3018449449348627,-0.5728175147322525,0.26184072773696576,86,704,546.0
CNX,-0.03299066845186279,-0.3025291496103333,-0.56853676776466,0.3193331312728811,86,705,667.0
FCX,-0.033062045255511506,-0.3031844005924595,0.5152801510774152,0.402661437803223,86,706,824.0
TME,-0.0337321918974319,-0.30933668658556895,0.7664790872189672,0.05772173187868896,86,707,114.0
CB,-0.03387435063232545,-0.31064182928019957,-0.7049873846538619,0.12233699148829469,86,708,255.0
COLD,-0.03417736151515292,-0.3134237998041893,-0.45704797907776273,0.42760792683701815,86,709,870.0
AA,-0.034219566358546755,-0.3138112931651069,0.4749580619062261,0.44819690561643377,86,710,911.0
MRVL,-0.03458297340172901,-0.317147895073787,0.1344428707918018,0.560250842808852,86,711,1125.0
SHLS,-0.03458412542243099,-0.31715847248847906,0.48921120149317526,0.23558208549141946,86,712,507.0
BRX,-0.03469420291700492,-0.31816916790387323,-0.6415901904566743,0.20572940353637537,86,713,433.0
OHI,-0.03542670649123006,-0.3248950722774835,-0.6122036846015327,0.23803642601710784,86,714,514.0
WAY,-0.03746599653630277,-0.32685046614659413,-0.7398942655226517,0.10074909075680655,78,715,199.0
VZ,-0.03574293089065134,-0.3277988305149869,-0.38979500661775424,0.3741059722913467,86,716,781.0
MP,-0.03587630767749883,-0.32902360404930625,0.22885996257747832,0.640149688555695,86,717,1276.0
UAA,-0.035884233854086005,-0.3290963891670918,-0.7209239676833896,0.060687050748551755,86,718,121.0
VVV,-0.03596880184827569,-0.3298729706697464,0.6846057689853232,0.050196457943744686,86,719,96.0
PRGO,-0.03624152825726484,-0.33237744510850337,-0.23441446107466105,0.5624453903782521,86,720,1131.0
TAK,-0.03626356909879537,-0.33257985164513526,-0.7003110014085228,0.16071729097279414,86,721,332.0
OBDC,-0.03639722780261245,-0.33380728322736175,0.5505107566580715,0.230488366524097,86,722,490.0
