k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,ticker,bar_freq
-5,y_leads_x,0.03720429134995343,1.9716627740099437,0.04864811592174519,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-4,y_leads_x,0.01343996547901079,2.9517144854875004,0.003160149855729529,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-3,y_leads_x,-0.009040857648785608,-1.3359395144143091,0.18156904410515629,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-2,y_leads_x,-0.04146168488810515,-1.8622365626230408,0.06256975284963341,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-1,y_leads_x,-0.05485047964211739,-2.7972385513370575,0.005154146275950836,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
1,x_leads_y,-0.056268823443820025,-44.70419784520018,0.0,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
2,x_leads_y,-0.0433540271982481,-8.358701131479021,6.34125313147014e-17,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
3,x_leads_y,-0.01054848479698522,-0.7523426945308431,0.45184499881713924,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
4,x_leads_y,0.010736792130622456,0.5059166457464357,0.6129151663185641,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
5,x_leads_y,0.03593563191237281,2.0450467120493157,0.04085025306888918,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
6,x_leads_y,0.04654574501078648,4.049398087293347,5.134953312697487e-05,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
7,x_leads_y,0.03696020589683527,8.426338546975524,3.566493397570854e-17,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
8,x_leads_y,0.034309699529575716,20.90265358722023,5.064965184938163e-97,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
9,x_leads_y,0.015924319340823372,5.970157052789351,2.3702531188778385e-09,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
10,x_leads_y,0.01245769142330428,2.4998812089050917,0.012423495681987536,0.6449250322361266,76,2,10,54,high,KXECDJT316,600s
-10,y_leads_x,0.010027429445234461,1.777590178658639,0.07547118801093634,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-9,y_leads_x,0.013502803655608853,1.804004463995099,0.07123060715096155,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-8,y_leads_x,0.02849523313259482,1.2494269808120615,0.21150894516758567,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-7,y_leads_x,0.03133911364965128,1.0440515664172498,0.29646153247240203,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-6,y_leads_x,0.040388678121062775,3.5047762916890313,0.0004569911081748429,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-5,y_leads_x,0.031372554027786256,2.796153997964678,0.005171475208360405,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-4,y_leads_x,0.010310335343521817,6.411930440199539,1.436884002776593e-10,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-3,y_leads_x,-0.008804854905441716,-1.6668646569045182,0.09554132003962645,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-2,y_leads_x,-0.03700746066574995,-2.3954422819024925,0.016600327603385114,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-1,y_leads_x,-0.0487494674358305,-3.7141441608203785,0.00020389254471482563,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
1,x_leads_y,-0.04959217847549357,-38.58991098464711,0.0,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
2,x_leads_y,-0.03774922744360871,-9.98558851430566,1.7625204022528513e-23,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
3,x_leads_y,-0.009754632006093278,-1.0520900133993596,0.29275825353985807,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
4,x_leads_y,0.009335752701565414,0.6699069499603574,0.50291710904633,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
5,x_leads_y,0.03036530748359363,2.761624177682489,0.0057514640501327065,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
6,x_leads_y,0.039821422357820255,5.6055689250065805,2.0757199744899543e-08,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
7,x_leads_y,0.031126269034493316,14.328508421730854,1.4520584051366895e-46,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
8,x_leads_y,0.02848478993644815,34.898058739520316,7.95599677136237e-267,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
9,x_leads_y,0.013599691732523312,5.82337303744915,5.767163007983306e-09,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
10,x_leads_y,0.010052838375839411,2.9689059183370468,0.002988620838527461,0.6397251866162601,98,7,10,71,high,KXECDJT316,600s
-10,y_leads_x,0.009941121993761626,1.7896013407674454,0.07351802281316601,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-9,y_leads_x,0.01340080883437559,1.8216794005690815,0.06850364535072775,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-8,y_leads_x,0.028212775077929766,1.2574671495739744,0.2085845271681669,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-7,y_leads_x,0.031073033442063032,1.0526785628943356,0.2924883368566372,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
