k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
4,kalshi_leads_etf,0.04972916921689538,1.6371907713576581,0.10159061473537577,0.0013146445065860268,187,106,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.24672006435734117
5,kalshi_leads_etf,0.02892188001747189,0.46794764688031937,0.6398220289870276,0.00046036084840617164,171,96,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
6,kalshi_leads_etf,0.0536479626843424,2.2784463259928485,0.02269999895806158,0.0015017637434326936,156,88,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.12863332742901562
7,kalshi_leads_etf,-0.03647463227086212,-1.3649004497014923,0.17228434091301137,0.0005759921788009992,142,81,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.3661042244401492
8,kalshi_leads_etf,0.07081663944048447,0.6416790406232805,0.521081600696438,0.00220001918732482,130,74,event,event(active),8,289,ELECTION_trump_fav,VDE,6,0.8579166157779079
-8,etf_leads_kalshi,-0.0049234068120998,-0.10952387139280687,0.9127869890240519,1.6097238398571356e-05,98,58,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.9277652163008832
-7,etf_leads_kalshi,-0.010391123660586216,-0.34738573407915024,0.728301549376527,6.623646888448409e-05,110,64,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.9277652163008832
-6,etf_leads_kalshi,0.006670915682293504,0.14414317688323472,0.8853874104849105,2.675670242380246e-05,123,72,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.9277652163008832
-5,etf_leads_kalshi,0.0019437911861022639,0.09065690259776346,0.9277652163008832,2.0949451494667315e-06,138,75,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.9277652163008832
-4,etf_leads_kalshi,-0.006042747382857235,-0.20630762581452317,0.8365506221280741,1.8904632618998995e-05,153,85,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.9277652163008832
-3,etf_leads_kalshi,0.10109985587978834,1.808380544156036,0.07054729387289055,0.0047706434790961705,171,97,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.17132914226273419
-2,etf_leads_kalshi,0.10494680037321873,2.4014507400175926,0.016330207576380314,0.004998162256971028,191,108,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.06940338219961634
-1,etf_leads_kalshi,0.13294841429443582,2.3049402943867934,0.02116991749284434,0.008362469108046389,216,117,calendar,10min,8,261,ELECTION_trump_fav,VFH,6,0.07197771947567076
