k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,etf,bar_freq
8,x_leads_y,-2.326435133947448e-07,-0.2429256426668535,0.8080630004990748,0.002416679972660485,69802,15,VGT,5s
9,x_leads_y,-5.780706251440432e-07,-0.6944081725140966,0.487426269980369,0.002416679972660485,69802,15,VGT,5s
10,x_leads_y,5.759422893070877e-07,0.9173583070367772,0.35895491287237735,0.002416679972660485,69802,15,VGT,5s
-10,y_leads_x,2.3973590835704894e-06,2.4126178063064687,0.015838418078515028,0.11161640543083895,51468,15,VAW,5s
-9,y_leads_x,8.198673395595023e-09,0.011770465607155074,0.9906087440692326,0.11161640543083895,51468,15,VAW,5s
-8,y_leads_x,-1.0080573389128518e-06,-0.8994492587841971,0.36841341155586793,0.11161640543083895,51468,15,VAW,5s
-7,y_leads_x,7.359797016574265e-07,1.15946900687639,0.24626506270222603,0.11161640543083895,51468,15,VAW,5s
-6,y_leads_x,1.1897239377620488e-06,1.1219922362736263,0.26186574092934944,0.11161640543083895,51468,15,VAW,5s
-5,y_leads_x,2.9639322265446802e-06,2.7511203755907494,0.005939181421425377,0.11161640543083895,51468,15,VAW,5s
-4,y_leads_x,5.510373237252011e-07,0.6096805343802386,0.5420734515898662,0.11161640543083895,51468,15,VAW,5s
-3,y_leads_x,1.5370502703750114e-06,2.5639485402210593,0.010348888684787404,0.11161640543083895,51468,15,VAW,5s
-2,y_leads_x,5.9825645252915e-06,5.462310898068567,4.6997605692891035e-08,0.11161640543083895,51468,15,VAW,5s
-1,y_leads_x,1.7951256881577544e-05,9.41515068042303,4.7240432906465226e-21,0.11161640543083895,51468,15,VAW,5s
1,x_leads_y,1.7810941032099392e-05,8.927045996585662,4.375355241616232e-19,0.11161640543083895,51468,15,VAW,5s
2,x_leads_y,6.044374352236427e-06,5.336923503132339,9.45369005985271e-08,0.11161640543083895,51468,15,VAW,5s
3,x_leads_y,1.487327638393049e-06,2.596882403928905,0.00940741250954533,0.11161640543083895,51468,15,VAW,5s
4,x_leads_y,8.513368023267168e-07,1.0429941248537886,0.2969510138106203,0.11161640543083895,51468,15,VAW,5s
5,x_leads_y,2.980281890787749e-06,2.804869693141672,0.005033692518904966,0.11161640543083895,51468,15,VAW,5s
6,x_leads_y,1.0379635868034138e-06,0.9404468929219251,0.346988378413305,0.11161640543083895,51468,15,VAW,5s
7,x_leads_y,8.002268585562868e-07,1.508081285235878,0.13153372437947822,0.11161640543083895,51468,15,VAW,5s
8,x_leads_y,-1.0381419531207042e-06,-0.955606944909619,0.33927085147638014,0.11161640543083895,51468,15,VAW,5s
9,x_leads_y,5.347248915333797e-07,0.8329934496425869,0.4048484235624509,0.11161640543083895,51468,15,VAW,5s
10,x_leads_y,1.2528040230236297e-06,1.4361465982180521,0.1509606308420757,0.11161640543083895,51468,15,VAW,5s
-10,y_leads_x,8.408844726367237e-07,1.2743769921628871,0.20252984227088466,0.06219378659346275,67038,15,VCR,5s
-9,y_leads_x,4.4067618394125964e-08,0.06744304060794144,0.9462290057175835,0.06219378659346275,67038,15,VCR,5s
-8,y_leads_x,1.0996669229390572e-07,0.1721427844412758,0.8633252776595076,0.06219378659346275,67038,15,VCR,5s
-7,y_leads_x,-4.2152641565819644e-07,-0.6873809846386089,0.49184267720600017,0.06219378659346275,67038,15,VCR,5s
-6,y_leads_x,1.7411058192751531e-06,2.666587562526756,0.007662564264696605,0.06219378659346275,67038,15,VCR,5s
-5,y_leads_x,2.13370076928956e-06,3.814925641467717,0.00013622394665097632,0.06219378659346275,67038,15,VCR,5s
-4,y_leads_x,4.88583245706255e-07,0.7433149697296604,0.4572910105314022,0.06219378659346275,67038,15,VCR,5s
-3,y_leads_x,7.491858307487113e-07,0.9585457233407955,0.33778764681611084,0.06219378659346275,67038,15,VCR,5s
-2,y_leads_x,3.46464152877975e-06,2.182511009869501,0.029071839591414194,0.06219378659346275,67038,15,VCR,5s
-1,y_leads_x,1.64868949822086e-05,12.916970292390198,3.610813967825159e-38,0.06219378659346275,67038,15,VCR,5s
1,x_leads_y,1.6448157702928633e-05,12.822767799401724,1.222570606254929e-37,0.06219378659346275,67038,15,VCR,5s
2,x_leads_y,3.4183624551648564e-06,2.1579274197493317,0.030933475260841576,0.06219378659346275,67038,15,VCR,5s
3,x_leads_y,7.79479758707475e-07,1.0199160268799596,0.30776828787079136,0.06219378659346275,67038,15,VCR,5s
4,x_leads_y,3.5734525227041393e-07,0.517975472716337,0.6044753823428257,0.06219378659346275,67038,15,VCR,5s
5,x_leads_y,2.03132475846253e-06,4.2611809152688735,2.033495321762001e-05,0.06219378659346275,67038,15,VCR,5s
6,x_leads_y,1.833242505535975e-06,2.973973753996887,0.0029397021848409856,0.06219378659346275,67038,15,VCR,5s
7,x_leads_y,-3.6358924576773743e-07,-0.6131916607164741,0.5397496181785351,0.06219378659346275,67038,15,VCR,5s
8,x_leads_y,5.4200383723838664e-08,0.09107317020934608,0.9274344510991688,0.06219378659346275,67038,15,VCR,5s
9,x_leads_y,2.7506235042446182e-09,0.003785856729366753,0.9969793305819588,0.06219378659346275,67038,15,VCR,5s
10,x_leads_y,7.706133636617898e-07,1.1919651385228183,0.2332749149442822,0.06219378659346275,67038,15,VCR,5s
-10,y_leads_x,8.211427568516327e-07,1.0798627711953117,0.28020329365294694,0.0028050776055885684,166384,37,VDE,5s
-9,y_leads_x,-1.2371613595918934e-06,-1.8629752932120254,0.06246574237881337,0.0028050776055885684,166384,37,VDE,5s
-8,y_leads_x,-3.2564442356597487e-07,-0.6394238307344853,0.5225472502085713,0.0028050776055885684,166384,37,VDE,5s
-7,y_leads_x,-2.292926180950564e-06,-4.340704532249927,1.4202659663846748e-05,0.0028050776055885684,166384,37,VDE,5s
-6,y_leads_x,1.1818817856206312e-06,2.2186012654922016,0.026513863385733444,0.0028050776055885684,166384,37,VDE,5s
-5,y_leads_x,3.9457846391282116e-07,0.7216951622388497,0.470481917071255,0.0028050776055885684,166384,37,VDE,5s
-4,y_leads_x,-1.0745632366239665e-06,-1.5365207842576722,0.12441070425355495,0.0028050776055885684,166384,37,VDE,5s
-3,y_leads_x,-1.6442320133083152e-06,-3.003492599532416,0.002669000399769582,0.0028050776055885684,166384,37,VDE,5s
